person_number,last_name,first_name,department,organizational_unit,title,badge
200461,Watters,Matthew,Police,Police Operations Bureau,Police Officer +5%,227
203373,Waubanascum,Dean,Police,Police 4 Sector 3rd Relief SSM,Police Officer,161
205973,Welsh,Jimmy,Police,Police Violent Crimes Sex/Child Abuse,Police Detective +5%,282
12189,White,Joshua,Police,Police 3 Sector 2nd Relief -TWT,Police Officer,129
203383,Wiley,Shea,Police,Police Forensics,Crime Scene Technician,920
213128,Wiley,Jordan,Police,Police Operations Bureau,Police Officer,341
94066,Wilkerson,Anthony,Police,Police 1 Sector 1st Relief -TWT,Police Officer w25,467
201499,Williams,Jared,Police,Police 4 Sector 2nd Relief-SSM,Police Officer,28
204943,Williams,Marcy,Police,Police Animal Control,Administrative Assistant,559
203581,Wimbles,Shane,Police,Police Violent Crimes Homicide/Assault,Police Sergeant,194
94655,Wimmer,Todd,Police,Police Operations Bureau,Police Sergeant +5%w25,422
214944,Wobler,Corissa,Police,Police Forensics,Forensic Services Supervisor,
206338,Wolfe,Zachery,Police,Police 4 Sector 3rd Relief SSM,Police Officer +5%,291
95298,Woodard,Steven,Police,Police 4 Sector 1st Relief -TWT,Police Officer +3% CJTC w25,106
4655,Wurges,Gareth,Police,Police Hiring & Recruitment,Police Officer,195
96981,Yenne,Scott,Police,Police Violent Crimes Sex/Child Abuse,Police Detective +5%w25,475
206875,Yerxa,Megan,Police,TPD Crime Analysis Unit,Crime Analyst,966
4139,Yglesias,Christie,Police,Police Violent Crimes Sex/Child Abuse,Police Detective w25,240
214286,Yi,Justin,Police,Police 2 Sector 3rd Relief -SSM,Police Officer,306
206469,Young,Michael,Police,Police Violent Crimes Homicide/Assault,Police Detective,292
