badge_number,full_name,title,unit,unit_description,first_name,middle_name,last_name
5772,"Carter, Nicholas A",Police Officer Detective,B721A  ,Dv Squad A - Investigations,Nicholas,A,Carter
7563,"Carullo, Vincenzo G.",Police Sergeant,B111D  ,West Pct 1St W - D/M (Late),Vincenzo,G,Carullo
7751,"Case, Bruce J_Jr.",Police Officer,B632D  ,Traf - Motorcycle - T4 Squad,Bruce,J_Jr,Case
6993,"Case, Tammie Jo",Police Officer Detective,B781B  ,Human Trafficking - Squad B,Tammie,Jo,Case
5917,"Cason, Elmer L",Police Officer,B632B  ,Traf - Motorcycle - T2 Squad,Elmer,L,Cason
7709,"Caspersen, Charles E_Jr",Police Officer,B232V  ,South Pct 2Nd W - Ocean Relief,Charles,E_Jr,Caspersen
8238,"Castillo, Jermaine",Community Service Officer,A311J  ,Community Service Office - Squad A,Jermaine,,Castillo
8829,"Catrain, Jacob W",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Jacob,W,Catrain
8680,"Caulfield, Riley A",Police Officer,B112V  ,West Pct 2Nd W - D/M Relief,Riley,A,Caulfield
6246,"Cavinta, Pete C_Jr",Police Officer,B252W  ,Southwest Pct 2Nd W - William,Pete,C_Jr,Cavinta
5455,"Caylor, Gregg A",Police Captain,C170   ,Force Investigations Section,Gregg,A,Caylor
6495,"Centorcelli, Mario J",Office/Maintenance Aide,C522A  ,Criminal History - Day Shift,Mario,J,Centorcelli
4989,"Cepeda, Jose Miguel",Police Officer,A810X  ,Hr - Department Unavailable Person~,Jose,Miguel,Cepeda
8774,"Chalich, Chad M",Police Student Officer,C125F  ,Training - Field Training Squad,Chad,M,Chalich
6019,"Chan, Edward L",Police Officer Detective,B731A  ,Narc - Proactive Squad A,Edward,L,Chan
6437,"Chan, Tammy M","Police Data Technician, Sr",C521A  ,Data Center - Day Shift,Tammy,M,Chan
8535,"Chandler, Jessica A M",Police Officer,B123W  ,North Pct 3Rd W - John Relief,Jessica,A M,Chandler
8749,"Chang, Matthew",Police Officer Probation,B232R  ,South Pct 2Nd W - Robert,Matthew,,Chang
4617,"Chang, Patrick J",Police Officer,B253W  ,Southwest Pct 3Rd W - William,Patrick,J,Chang
6448,"Charleville, Patricia L",Police Comm Dispatcher I,C314F  ,Comm - 1St W (F) - Cc,Patricia,L,Charleville
4766,"Charnley, Laura L",Admin Specialist Iii,C522J  ,Criminal History - Juvenile Record~,Laura,L,Charnley
5968,"Chartrand, Eric S",Police Sergeant Detective,B713T  ,Inv Supp - Technical Assistance Sq~,Eric,S,Chartrand
5709,"Chase, Clark D",Police Officer,A312N  ,Navigation Team - Squad A,Clark,D,Chase
7448,"Chase, Matthew L",Police Officer,A311M  ,Mounted Patrol Squad,Matthew,L,Chase
8263,"Chen, Sihao",Admin Specialist Ii,A100Y  ,Opa - Administration,Sihao,,Chen
8033,"Chesla, Joseph K",Police Comm Dispatcher I,C314H  ,Comm - 2Nd W (B) - Ca,Joseph,K,Chesla
6928,"Chin, Jonathan E",Police Officer,B121B  ,North Pct 1St W - Boy (John),Jonathan,E,Chin
4814,"Chin, Michael Mun-Wai",Police Officer,B632B  ,Traf - Motorcycle - T2 Squad,Michael,Mun-Wai,Chin
5711,"Chin, Terry M",Police Officer Detective,B731A  ,Narc - Proactive Squad A,Terry,M,Chin
5797,"Chittenden, Jason D",Police Officer,B123V  ,North Pct 3Rd W - B/N Relief,Jason,D,Chittenden
8074,"Chitty, Carrie J","Planning & Development Specialist, Sr",B500Y  ,Metropolitan Safety Services Burea~,Carrie,J,Chitty
4870,"Choi, Mitch Yun-Sung",Police Officer,B111T  ,West Pct 1St W - Kq/Dm Relief,Mitch,Yun-Sung,Choi
T112,"Chou, Jennie T",Accounting Technician Iii,A820A  ,Hr - Payroll,Jennie,T,Chou
T126,"Christensen, Angela R",Victim Advocate,B721V  ,Dv - Vst (Victim Support Team),Angela,R,Christensen
5665,"Christenson, Thomas K",Police Officer,B119I  ,West Pct Ops - Sea Ctr,Thomas,K,Christenson
5366,"Christiansen, Rande A",Police Officer Detective,B721A  ,Dv Squad A - Investigations,Rande,A,Christiansen
7967,"Christine, Samantha V",Manager Ii,C314   ,Comm - Floor Operations Management,Samantha,V,Christine
6070,"Christman, Christopher M",Police Officer,C121A  ,Training - Advanced - Squad A,Christopher,M,Christman
6216,"Cierley, Robert Ray",Police Officer,B632C  ,Traf - Motorcycle - T3 Squad,Robert,Ray,Cierley
8276,"Clancy, Amy",Strategic Advisor Iii,A010   ,Cop - Strategic Communications,Amy,,Clancy
6335,"Clark, Carma G",Police Officer,B112Q  ,West Pct 2Nd W - Queen,Carma,G,Clark
8310,"Clark, Matthew C",Police Officer,B182C  ,Crg - Squad 82C,Matthew,C,Clark
4507,"Clark, Robin L",Police Captain,B750   ,Coordinated Criminal Investigation~,Robin,L,Clark
7592,"Claxton, Justin C.",Police Officer,B181E  ,Crg - Squad 81E,Justin,C,Claxton
7244,"Clayton, Jennifer C","Police Comm, Dispatcher Ii",C314R  ,Comm - 3Rd W (F) - Cc,Jennifer,C,Clayton
8390,"Cleaves, Ernest L",Police Officer,A810X  ,Hr - Department Unavailable Person~,Ernest,L,Cleaves
5435,"Clement, David G",Acting Police Officer Detective,B713B  ,Inv Supp - Rtcc Detail,David,G,Clement
6148,"Clenna, Bryan E",Police Lieutenant,B632   ,Traf - Traffic Safety Unit,Bryan,E,Clenna
6901,"Clinton, Adam C",Police Officer,C121R  ,Training - Firearms Squad A,Adam,C,Clinton
5924,"Cobane, Shandy D",Police Officer,B712R  ,Robbery Squad A,Shandy,D,Cobane
5350,"Cockbain, Daniel A",Acting Police Sergeant Detective,B752T  ,Major Crimes Task Force,Daniel,A,Cockbain
5932,"Cockbain, Karla E.",Police Officer,B243P  ,East Pct 3Rd W - Pct Support,Karla,E,Cockbain
3363,"Coddington, John W",Equipment & Facilities Coordinator,B630S  ,Traffic Section - Stationmaster,John,W,Coddington
7744,"Coe, Sarah R",Police Officer,B232R  ,South Pct 2Nd W - Robert,Sarah,R,Coe
8330,"Coelho-Vermeulen, K V",Police Officer,B243E  ,East Pct 3Rd W - Edward,K,V,Coelho-Vermeulen
8334,"Cole, Eric J",Police Officer,A810X  ,Hr - Department Unavailable Person~,Eric,J,Cole
6861,"Cole, Jonathan A",Strategic Advisor Ii,C050A  ,Data Analytics Support,Jonathan,A,Cole
8018,"Cole, Spencer J","Police Comm, Dispatcher Iii",C314Q  ,Comm - 3Rd W (E) - Cc,Spencer,J,Cole
8668,"Coleman, Ashley R",Police Officer,B232R  ,South Pct 2Nd W - Robert,Ashley,R,Coleman
6940,"Coles, Chris",Police Officer,A313A  ,Crisis Response Squad,Chris,,Coles
7143,"Colin, Tricia Anne","Executive Assistant, Sr",A000A  ,Cop - Assistant,Tricia,Anne,Colin
7519,"Collier, Wes",Police Sergeant Detective,A810X  ,Hr - Department Unavailable Person~,Wes,,Collier
8119,"Collings, Tara M",Manager I,A611   ,Legal - Support And Public Disclos~,Tara,M,Collings
8479,"Collins, Neil F",Police Officer,B251T  ,Southwest Pct 1St W - F/W Relief,Neil,F,Collins
7968,"Collins, Razia M",Police Comm Dispatcher I,C314H  ,Comm - 2Nd W (B) - Ca,Razia,M,Collins
7334,"Columbo, Donna Rae",Admin Staff Assistant,A611B  ,Legal - Public Disclosure Team,Donna,Rae,Columbo
7736,"Coma, James R.",Police Officer,B182C  ,Crg - Squad 82C,James,R,Coma
6753,"Conine, Danial J",Police Officer Detective,B781I  ,Icac - Internet Crimes Against Chi~,Danial,J,Conine
7847,"Conlin, Jeffrey",Police Communications Analyst,C314G  ,Comm - 2Nd W (A) - Ca,Jeffrey,,Conlin
6947,"Conrad, Gabriel W",Police Sergeant,A810X  ,Hr - Department Unavailable Person~,Gabriel,W,Conrad
4837,"Conrad, Thomas F",Police Officer Detective,B711C  ,Homicide Squad C,Thomas,F,Conrad
6872,"Consalvi, Elizabeth A",Police Lieutenant,B110F  ,West Pct - Force Review,Elizabeth,A,Consalvi
8379,"Constantin, Andrei",Police Officer,B253F  ,Southwest Pct 3Rd W - Frank,Andrei,,Constantin
6149,"Conway, Bradley C",Police Officer,A810X  ,Hr - Department Unavailable Person~,Bradley,C,Conway
7547,"Conway, Heather L",Acting Police Officer Detective,B765   ,Forensics - Crime Scene Investigat~,Heather,L,Conway
6217,"Cook, Linda M",Police Sergeant,C121E  ,Training - Advanced - Squad C,Linda,M,Cook
6606,"Cook, Sara E",Police Officer,B231R  ,South Pct 1St W - Robert,Sara,E,Cook
6666,"Coolidge, Marshall O",Police Officer,B621B  ,Swat - Day Squad 2,Marshall,O,Coolidge
8443,"Coomer, Benjamin W",Police Officer,B182B  ,Crg - Squad 82B,Benjamin,W,Coomer
7230,"Coonradt, Thomas R",Communications Dispatcher Supervisor,C314D  ,Comm - 1St W (D) - Cb,Thomas,R,Coonradt
5339,"Cooper, James L",Police Officer Detective,B711B  ,Homicide Squad B,James,L,Cooper
6456,"Cooper, Michelle M",Communications Dispatcher Supervisor,C311A  ,Comm - Analysts,Michelle,M,Cooper
8480,"Cooper, Quinton M",Police Officer,B252F  ,Southwest Pct 2Nd W - Frank,Quinton,M,Cooper
8109,"Coraggio, Donovan J",Parking Enfor Officer,B637M  ,Parking Enforcement - P13 Squad,Donovan,J,Coraggio
7637,"Corbin, Stephen J",Police Sergeant Detective,A111A  ,Opa - Investigations - Team A,Stephen,J,Corbin
8529,"Corcoran, Kyle R",Police Officer,B182C  ,Crg - Squad 82C,Kyle,R,Corcoran
8105,"Cordeiro, Melissa A","Planning & Development Specialist, Sr",C504A  ,Grants & Contracts Squad,Melissa,A,Cordeiro
5432,"Cordner, Lesley",Assistant Chief Of Police,C100   ,Professional Standards Bureau,Lesley,,Cordner
8125,"Cordova, Tracy R",Admin Specialist Ii,C180Y  ,Force Review Section - Administrat~,Tracy,R,Cordova
7758,"Couet, Christopher D",Police Officer,B182A  ,Crg - Squad 82A,Christopher,D,Couet
5880,"Cox, Thomas M","Parking Enfor Officer, Spvsr",B637C  ,Parking Enforcement - P3 Squad,Thomas,M,Cox
8157,"Cracraft, Jennifer",Identification Data Specialist,B763A  ,Afis Administration,Jennifer,,Cracraft
7731,"Craig, Brandon J.",Police Officer,B122T  ,North Pct 2Nd W - L/U Relief,Brandon,J,Craig
5285,"Cravens, William F",Police Officer,B231S  ,South Pct 1St W - Sam,William,F,Cravens
8066,"Crisanto, Josielyn",Admin Specialist Ii,C501Y  ,Fiscal Unit - Administration,Josielyn,,Crisanto
6012,"Criscola-Poua, Janet Lee",Police Data Technician,C521A  ,Data Center - Day Shift,Janet,Lee,Criscola-Poua
5494,"Crooks, Danni K",Police Officer,B251W  ,Southwest Pct 1St W - William,Danni,K,Crooks
8047,"Cross, Felicia J",Planning & Development Specialist Ii,A312J  ,Joint Enforcement Team (Jet),Felicia,J,Cross
8004,"Crouch, Kelly A",Strategic Advisor Ii,B780Y  ,High Risk Victims Section - Admini~,Kelly,A,Crouch
7610,"Crow, Shawn D.",Police Officer,B121V  ,North Pct 1St W - B/N Relief (John~,Shawn,D,Crow
6028,"Cruise, Alan G",Police Officer Detective,B711C  ,Homicide Squad C,Alan,G,Cruise
5664,"Crumb, John W",Police Sergeant Detective,B762   ,Evidence Unit,John,W,Crumb
7526,"Crumpton, Hosea L",Police Officer,A810X  ,Hr - Department Unavailable Person~,Hosea,L,Crumpton
7235,"Cruz, Bernadette Reyes",Community Service Officer,A311J  ,Community Service Office - Squad A,Bernadette,Reyes,Cruz
8605,"Cruz, Jonathan",Police Officer,B231S  ,South Pct 1St W - Sam,Jonathan,,Cruz
5849,"Cruzan, Michael E",Police Officer,B122W  ,North Pct 2Nd W - John Relief,Michael,E,Cruzan
7662,"Culbertson, Sean D",Police Officer,B182C  ,Crg - Squad 82C,Sean,D,Culbertson
8779,"Cunningham, Damon J",Police Student Officer,C125F  ,Training - Field Training Squad,Damon,J,Cunningham
7245,"Cunningham, Michael S",Police Communications Analyst,C311A  ,Comm - Analysts,Michael,S,Cunningham
5963,"Curtis, Daniel H",Police Lieutenant,B242   ,East Pct 2Nd W,Daniel,H,Curtis
8493,"Daane, Andrew M",Police Officer,A810X  ,Hr - Department Unavailable Person~,Andrew,M,Daane
8194,"Dagno, Fatou",Parking Enfor Officer,A810X  ,Hr - Department Unavailable Person~,Fatou,,Dagno
8407,"Daily, Sean C",Police Officer,B181C  ,Crg - Squad 81C,Sean,C,Daily
7558,"Dalan, Aaron A.",Acting Police Officer Detective,B731C  ,Narc - Proactive Squad C,Aaron,A,Dalan
7135,"Daley, Susan E",Admin Staff Analyst,B713Y  ,Inv Supp - Administration And Anal~,Susan,E,Daley
7440,"Daly, Patrick T",Police Sergeant,B113T  ,West Pct 3Rd W - K/Q Relief,Patrick,T,Daly
6728,"D'ambrosio, Darryl M",Police Sergeant,B241E  ,East Pct 1St W - Edward (Charlie),Darryl,M,D'ambrosio
7380,"Dani, Ellessar",Police Officer,B232S  ,South Pct 2Nd W - Sam,Ellessar,,Dani
5760,"Danielson, James E_Ii",Police Lieutenant,B781   ,High Risk Victims Unit,James,E_Ii,Danielson
8048,"Danner, Jennifer E",Crime Prevention Coordinator,A311C  ,Community Outreach - Crime Prevent~,Jennifer,E,Danner
7627,"Daranciang, Mikael F.",Police Officer,B181C  ,Crg - Squad 81C,Mikael,F,Daranciang
7621,"Dausner, William G",Acting Police Officer Detective,B765   ,Forensics - Crime Scene Investigat~,William,G,Dausner
8750,"Dave, Kevin A",Police Officer Probation,B113D  ,West Pct 3Rd W - David,Kevin,A,Dave
6902,"Davenport, Dale H",Police Officer,B119S  ,West Pct Ops - Stationmaster,Dale,H,Davenport
6654,"Davenport, Gary T",Police Officer,B632B  ,Traf - Motorcycle - T2 Squad,Gary,T,Davenport
8471,"David, Brooke H",Police Officer,B111K  ,West Pct 1St W - K/Q (Early),Brooke,H,David
7617,"Davis, Austin D.",Acting Police Sergeant,B123N  ,North Pct 3Rd W - Nora,Austin,D,Davis
7274,"Davis, Danielle",Communications Dispatcher Supervisor,C314F  ,Comm - 1St W (F) - Cc,Danielle,,Davis
6037,"Davis, Dorina M",Police Officer Detective,B752A  ,"Fraud, Forgery And Financial Explo~",Dorina,M,Davis
7229,"Davis, Kathleen S",Admin Staff Assistant,B625Y  ,Harbor - Administration,Kathleen,S,Davis
4806,"Davis, Pierre L",Police Captain,A310   ,Collaborative Policing Section,Pierre,L,Davis
8448,"Davis, Ronald M",Police Officer,A810X  ,Hr - Department Unavailable Person~,Ronald,M,Davis
6633,"Davis, Tyrone",Police Sergeant Detective,B721A  ,Dv Squad A - Investigations,Tyrone,,Davis
6684,"Davisson, George",Police Lieutenant,C110A  ,"Apr - Audit, Policy And Research S~",George,,Davisson
6740,"Daylong, Eric D",Police Officer,B632D  ,Traf - Motorcycle - T4 Squad,Eric,D,Daylong
6844,"Debella, Ernest G_Jr",Acting Police Sergeant,B253F  ,Southwest Pct 3Rd W - Frank,Ernest,G_Jr,Debella
6274,"Deese, Damon A",Police Officer,B231T  ,South Pct 1St W - R/S Relief,Damon,A,Deese
7023,"Deese, Heidi L",Police Communications Analyst,C313B  ,Comm - Training Analyst,Heidi,L,Deese
8193,"Dela Cruz Torres, Sherry",Parking Enfor Officer,B637D  ,Parking Enforcement - P4 Squad,Cruz,"Torres, Sherry",Dela
6290,"Dela Cruz, Nilo C",Police Officer,B251F  ,Southwest Pct 1St W - Frank,Cruz,Nilo C,Dela
5394,"Delgado, Leslie R",Admin Specialist Ii,B732Y  ,Narc - General Investigations Unit~,Leslie,R,Delgado
8274,"Delozier, Anna","Police Comm, Dispatcher Ii",C314L  ,Comm - 2Nd W (F) - Cc,Anna,,Delozier
8288,"Demuro, Nicholas T",Admin Specialist Ii,A100Y  ,Opa - Administration,Nicholas,T,Demuro
8217,"Dennis, Darius L",Parking Enfor Officer,B637M  ,Parking Enforcement - P13 Squad,Darius,L,Dennis
7319,"Denys, Rachel",Police Comm Dispatcher I,C314R  ,Comm - 3Rd W (F) - Cc,Rachel,,Denys
6275,"Depina, Camilo E",Police Officer,B233O  ,South Pct 3Rd W - Ocean,Camilo,E,Depina
8261,"Derby, Karen G","Photographer, Sr",B761P  ,Photo Lab,Karen,G,Derby
7401,"Derezes, George M",Police Sergeant,B241G  ,East Pct 1St W - George (Charlie),George,M,Derezes
5131,"Devine, Michael J",Police Sergeant Detective,B731A  ,Narc - Proactive Squad A,Michael,J,Devine
7611,"Devore, Bradley J.",Police Officer,C125A  ,Training - Wscjc Squad (Academy),Bradley,J,Devore
5497,"Devore, Timothy A",Police Officer Detective,B711A  ,Homicide Squad A,Timothy,A,Devore
7426,"Dewey, Jason A",Police Officer Detective,C171A  ,Force Investigations Squad,Jason,A,Dewey
8083,"Dewitt, Angela M","Police Data Technician, Sr",C521B  ,Data Center - Swing Shift,Angela,M,Dewitt
7287,"Diagana, Yakouba",Parking Enfor Officer,B637H  ,Parking Enforcement - P8 Squad,Yakouba,,Diagana
6295,"Diamond, Jason M",Police Sergeant,B621A  ,Swat - Day Squad 1,Jason,M,Diamond
6248,"Diaz, Adrian Z",Interim Chief Of Police,A000   ,Cop - Chief Of Police,Adrian,Z,Diaz
6021,"Diaz, Avery J",Police Sergeant Detective,B781A  ,Human Trafficking - Squad A,Avery,J,Diaz
5135,"Diaz, Linda M",Police Officer Detective,B732A  ,Narc - General Investigations - Ad~,Linda,M,Diaz
8459,"Diaz, Sebastian M",Police Officer,B181B  ,Crg - Squad 81B,Sebastian,M,Diaz
7807,"Dickey, Brian E.",Police Comm Dispatcher I,C314L  ,Comm - 2Nd W (F) - Cc,Brian,E,Dickey
6801,"Dickson, Clark A",Police Officer,B233O  ,South Pct 3Rd W - Ocean,Clark,A,Dickson
8639,"Dickson, Jack T",Police Officer,B113Q  ,West Pct 3Rd W - Queen,Jack,T,Dickson
7288,"Dickson, Walker R",Police Officer,B242T  ,East Pct 2Nd W - E/G Relief,Walker,R,Dickson
7520,"Didier, Matthew P",Police Sergeant Detective,A090A  ,Cop - Wellness Unit - Team A,Matthew,P,Didier
4901,"Dietrich, Seth F",Police Lieutenant,B120F  ,North Pct - Force Review,Seth,F,Dietrich
6616,"Diezsi, Matthew S",Police Officer,A810X  ,Hr - Department Unavailable Person~,Matthew,S,Diezsi
6317,"Digalis, Theresa C",Police Officer,C312R  ,Comm - Internet And Telephone Repo~,Theresa,C,Digalis
8163,"Dike, Brittany A",Parking Enfor Officer,B637J  ,Parking Enforcement - P10 Squad,Brittany,A,Dike
7813,"Dike, Tim","Equipment & Facilities Coordinator, Sr",C502   ,Quartermaster Unit,Tim,,Dike
8669,"Dill, Eric J",Police Officer,B242E  ,East Pct 2Nd W - Edward,Eric,J,Dill
7853,"Dimaggio, Kaylee",Volunteer Programs Coordinator,B721V  ,Dv - Vst (Victim Support Team),Kaylee,,Dimaggio
5840,"Dittoe, Jonathan J",Police Officer Detective,B739B  ,Narc - Hidta Task Force - B,Jonathan,J,Dittoe
8830,"Do, An P H",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,An,P H,Do
7770,"Do, Dung Quoc",Police Officer,B243C  ,East Pct 3Rd W - Charlie,Dung,Quoc,Do
8662,"Doaks, Diondre M",Police Officer,B182E  ,Crg - Squad 82E,Diondre,M,Doaks
8759,"Doan, Daniel N",Police Officer Probation,B241E  ,East Pct 1St W - Edward (Charlie),Daniel,N,Doan
7056,"Doan, Minh D",Mgmt Systems Analyst,C502A  ,Quartermaster Squad,Minh,D,Doan
7605,"Dobson, Jamin M",Police Student Officer,C125F  ,Training - Field Training Squad,Jamin,M,Dobson
7514,"Domholt, Jason C",Police Sergeant,B181E  ,Crg - Squad 81E,Jason,C,Domholt
8606,"Dore, Jane M",Police Officer,B122B  ,North Pct 2Nd W - Boy,Jane,M,Dore
5966,"Dornay, Zsolt F_Jr",Police Officer,B119E  ,West Pct Ops - Commercial Sec,Zsolt,F_Jr,Dornay
7664,"Dorr, Brandon G",Police Officer,B181B  ,Crg - Squad 81B,Brandon,G,Dorr
6800,"Dotson, Jeffry S",Police Officer,B121V  ,North Pct 1St W - B/N Relief (John~,Jeffry,S,Dotson
6396,"Doucett, David M",Police Officer,A810X  ,Hr - Department Unavailable Person~,David,M,Doucett
8016,"Dougherty, Traci S",Admin Staff Analyst,A611A  ,Legal - Support Team,Traci,S,Dougherty
5469,"Downing, Brian C",Police Lieutenant,A810X  ,Hr - Department Unavailable Person~,Brian,C,Downing
5619,"Drain, David P",Police Lieutenant,B620F  ,Special Services Section - Force R~,David,P,Drain
5803,"Drummond, Jason G",Police Officer,B112A  ,West Pct 2Nd W - David Beats,Jason,G,Drummond
6204,"Duangprasert, Devin",Admin Specialist Ii,C522B  ,Criminal History - Swing Shift,Devin,,Duangprasert
7527,"Ducre, Anthony",Police Officer,B623A  ,Canine - Squad A,Anthony,,Ducre
6450,"Dueball, Daniel M",Admin Staff Assistant,A700Y  ,Chief Strategy Officer - Administr~,Daniel,M,Dueball
8374,"Duemmell, Jerry R",Police Officer,B122U  ,North Pct 2Nd W - Union,Jerry,R,Duemmell
7515,"Dunbar, Joshua D",Police Sergeant,B231O  ,South Pct 1St W - Ocean,Joshua,D,Dunbar
7509,"Dunckle, Michael D",Police Sergeant,B233V  ,South Pct 3Rd W - Ocean Relief,Michael,D,Dunckle
8516,"Dunwoody, Robert A",Police Officer,B112M  ,West Pct 2Nd W - Mary,Robert,A,Dunwoody
6608,"Dupleich, Bradley S",Police Officer,B232O  ,South Pct 2Nd W - Ocean,Bradley,S,Dupleich
5477,"Dupleich, Eric R",Police Officer,B623A  ,Canine - Squad A,Eric,R,Dupleich
7995,"Dupuis, Michael J",Parking Enfor Officer,B637D  ,Parking Enforcement - P4 Squad,Michael,J,Dupuis
5573,"Durden, Jeffrey D",Police Sergeant Detective,B752B  ,Auto Theft,Jeffrey,D,Durden
8143,"Durkee, Kathryn C","Photographer, Sr",B761P  ,Photo Lab,Kathryn,C,Durkee
8652,"Durnil, Taylor R",Police Officer,B182A  ,Crg - Squad 82A,Taylor,R,Durnil
8347,"Duus, John T",Police Sergeant,B243E  ,East Pct 3Rd W - Edward,John,T,Duus
5790,"Dyment, James K",Police Lieutenant,A090   ,Cop - Wellness Services Unit,James,K,Dyment
8763,"Eames, Kaybree R",Police Student Officer,C125F  ,Training - Field Training Squad,Kaybree,R,Eames
8348,"Eastgard, Erik L",Police Officer,B181B  ,Crg - Squad 81B,Erik,L,Eastgard
7412,"Eastman, Michael A",Police Officer,B181A  ,Crg - Squad 81A,Michael,A,Eastman
5264,"Eaton, Michael",Parking Enfor Officer,B637H  ,Parking Enforcement - P8 Squad,Michael,,Eaton
6617,"Ebinger, Sina K.C.",Police Lieutenant,B259   ,Southwest Pct Ops,Sina,K.C,Ebinger
6603,"Edison, Simon J",Acting Police Officer Detective,B752T  ,Major Crimes Task Force,Simon,J,Edison
7850,"Edmonds, Jonathan M",Latent Print Supervisor,B763F  ,Latent Prints - Squad C,Jonathan,M,Edmonds
8045,"Edmonds, Kaitlin G",Video Specialist Ii,B761V  ,Video Unit,Kaitlin,G,Edmonds
8012,"Edmundson, Melissa D","Evidence Warehouser, Sr",B762C  ,Evidence Warehouse - Squad C,Melissa,D,Edmundson
5728,"Edwards, Everett E",Police Officer,B251F  ,Southwest Pct 1St W - Frank,Everett,E,Edwards
5186,"Edwards, Lynne C",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Lynne,C,Edwards
4413,"Edwards, Mike",Police Captain,B780   ,High Risk Victims Section,Mike,,Edwards
8349,"Edwards, Terrance E",Police Officer,B232T  ,South Pct 2Nd W - R/S Relief,Terrance,E,Edwards
5969,"Edwards, William Joseph_J",Police Sergeant,B632B  ,Traf - Motorcycle - T2 Squad,William,Joseph_J,Edwards
7593,"Eggers, Brandon J.",Police Officer,B231T  ,South Pct 1St W - R/S Relief,Brandon,J,Eggers
8174,"Elenbaas, Joseph",Crime Prevention Coordinator,A311C  ,Community Outreach - Crime Prevent~,Joseph,,Elenbaas
6726,"Elias, Adam J",Police Sergeant,B233T  ,South Pct 3Rd W - R/S Relief,Adam,J,Elias
5741,"Elias, Ella E",Police Sergeant,B112S  ,West Pct 2Nd W - Special Beats,Ella,E,Elias
7085,"Elias, Veronica M",Police Comm Dispatcher I,C314K  ,Comm - 2Nd W (E) - Cc,Veronica,M,Elias
5425,"Elliott, Joseph D",Police Officer,B632R  ,Traf - Photo Enforcement,Joseph,D,Elliott
7148,"Elliott, Shawna O",Police Communications Analyst,C311A  ,Comm - Analysts,Shawna,O,Elliott
5975,"Ellis, E A",Police Officer Detective,B711F  ,Homicide - Polygraph Detail,E,A,Ellis
5514,"Ellis, Randy R",Police Officer Detective,B752B  ,Auto Theft,Randy,R,Ellis
8530,"Ellis, Rosell",Police Officer,B232S  ,South Pct 2Nd W - Sam,Rosell,,Ellis
5923,"Ellis, Roy C_Jr",Police Officer,A810X  ,Hr - Department Unavailable Person~,Roy,C_Jr,Ellis
7612,"Ellis, Ryan G",Police Officer Detective,B721D  ,Dv Squad D - Order Service,Ryan,G,Ellis
6523,"Ellison-Russell, Miriam R",Parking Enfor Officer,B637F  ,Parking Enforcement - P6 Squad,Miriam,R,Ellison-Russell
7699,"Emerson, Sarah",Police Officer,B231R  ,South Pct 1St W - Robert,Sarah,,Emerson
6004,"Emerson, Wendy E",Police Officer Detective,A810X  ,Hr - Department Unavailable Person~,Wendy,E,Emerson
8709,"Emery, Ashley I",Police Officer Probation,B241E  ,East Pct 1St W - Edward (Charlie),Ashley,I,Emery
4831,"Emery, David P",Police Officer,B252T  ,Southwest Pct 2Nd W - F/W Relief,David,P,Emery
8689,"Englund, Stephen B",Police Officer,B112K  ,West Pct 2Nd W - King,Stephen,B,Englund
6264,"Engstrom, Jon A",Police Officer Detective,B713T  ,Inv Supp - Technical Assistance Sq~,Jon,A,Engstrom
4585,"Enriquez, Daniel R",Police Officer Detective,B711M  ,Homicide - Missing Persons,Daniel,R,Enriquez
7254,"Eren, Heidi",Admin Specialist Ii,C310Y  ,Communications Section - Administr~,Heidi,,Eren
7238,"Eren, Toner J",Parking Enfor Officer,B637H  ,Parking Enforcement - P8 Squad,Toner,J,Eren
7641,"Erickson, Daniel B",Police Officer,A313A  ,Crisis Response Squad,Daniel,B,Erickson
7580,"Escalante, Brien",Police Officer Detective,A312S  ,Executive Protection Detail,Brien,,Escalante
7921,"Esparza, Joel A","Police Comm, Dispatcher Iii",C314N  ,Comm - 3Rd W (B) - Ca,Joel,A,Esparza
6276,"Espinoza, Daniel",Police Officer,B632B  ,Traf - Motorcycle - T2 Squad,Daniel,,Espinoza
7165,"Esteban, Wenceslao S_Jr",Parking Enfor Officer,B637J  ,Parking Enforcement - P10 Squad,Wenceslao,S_Jr,Esteban
8608,"Estrada, Abraham",Police Officer,B181A  ,Crg - Squad 81A,Abraham,,Estrada
6604,"Etoh, Norhihisa",Police Sergeant,C312R  ,Comm - Internet And Telephone Repo~,Norhihisa,,Etoh
6151,"Eugenio, David P",Police Officer,B119I  ,West Pct Ops - Sea Ctr,David,P,Eugenio
8191,"Evans, Brian L",Parking Enfor Officer,B637M  ,Parking Enforcement - P13 Squad,Brian,L,Evans
6833,"Evans, Nicholas A.",Police Officer,B621C  ,Swat - Night Squad 1,Nicholas,A,Evans
7413,"Evans, Nicholas J",Police Officer,B253T  ,Southwest Pct 3Rd W - F/W Relief,Nicholas,J,Evans
8565,"Everett, Alexander L",Police Officer,A810X  ,Hr - Department Unavailable Person~,Alexander,L,Everett
7633,"Fabbricante, Michael L",Police Officer,B252W  ,Southwest Pct 2Nd W - William,Michael,L,Fabbricante
7969,"Fain, Brian M",Police Comm Dispatcher I,C314I  ,Comm - 2Nd W (C) - Cb,Brian,M,Fain
